,model__n_neighbors,Bag-of-Words,TF-IDF,Word2Vec,LDA
0,8,0.18636175788926845,0.1353408394578075,0.18844284838898154,0.16237739716000588
1,9,0.19167239925223764,0.13019265374017203,0.19085791867631036,0.16913679568546822
2,10,0.19328205746058766,0.1313188315112132,0.1935942728555272,0.17251740179789427
3,11,0.19682019632000394,0.14177960184116398,0.1937555625512532,0.1731610059813215
4,12,0.19746354140351832,0.14033084467867077,0.20373557299297973,0.17171186016895906
5,13,0.1985895896246031,0.14306512605858507,0.2056656082435228,0.17492962198618217
6,15,0.2038984172881826,0.14451310592133987,0.20421762838076804,0.17895137083286372
