,model__n_neighbors,Bag-of-Words,TF-IDF,Word2Vec,LDA
0,8,0.36530334332655034,0.42742231956547627,0.37817336419321607,0.3704537334762415
1,9,0.36916652427626845,0.425168926790624,0.38009951794377905,0.3717414604594809
2,10,0.37689081504263944,0.42710077615711617,0.3858966193930544,0.37720769840160306
3,11,0.3768939217422371,0.42677819718222354,0.39458243368490814,0.38751003205078416
4,12,0.37399537101759944,0.4277438629738364,0.3978066700840362,0.38751003205078416
5,13,0.3852649238081923,0.42967674790686117,0.3952400184330843,0.3855802538173571
6,15,0.3884793223252611,0.4267771616156909,0.3971646188338485,0.3936245346422894
