,model__n_neighbors,Bag-of-Words,TF-IDF,Word2Vec,LDA
0,8,0.4007062563752065,0.4509255375884762,0.4303224236399128,0.3929886967912971
1,9,0.40521459527470993,0.45478095178920014,0.424858774614122,0.3904132428248184
2,10,0.40811003929974987,0.45252704123108145,0.424858774614122,0.3958836230330708
3,11,0.41261527149965566,0.4499531406144016,0.43385784778207537,0.3968482532581512
4,12,0.40263810574169867,0.45477680952306987,0.44062268615602884,0.4013529676747907
5,13,0.3968420398589558,0.4579989747891327,0.42839057427342064,0.3971713500163102
6,15,0.39717031444977763,0.45735433462261366,0.4444817248396166,0.40232432908233273
