,model__n_neighbors,Bag-of-Words,TF-IDF,Word2Vec,LDA
0,8,0.1879649978713367,0.13346534881312638,0.19300406171972986,0.15910435052756333
1,9,0.19386605529922102,0.14097607842686027,0.2041615943112911,0.1653265484587327
2,10,0.20223354313132128,0.14794583990150617,0.20834637379327803,0.1683299773326123
3,11,0.2022340609142897,0.14644507473334178,0.20158752258109053,0.1768065447767205
4,12,0.20684687431681414,0.14655225580779896,0.2138181891403652,0.18238479328953275
5,13,0.20781202176989727,0.14590899676673302,0.2124219010689342,0.18613975537631317
6,15,0.21113843215317168,0.14783888895281272,0.21875197045185196,0.18892951247856954
