,model__n_neighbors,Bag-of-Words,TF-IDF,Word2Vec,LDA
0,8,0.3955558662255153,0.4213098881070362,0.38205363199072134,0.38913172924077444
1,9,0.4023232935158002,0.4229181229321031,0.3820474185915259,0.38720453992367876
2,10,0.4039284216412694,0.42484531224919875,0.38944498811687406,0.3946083228482222
3,11,0.4029622380663902,0.4258104602575454,0.38719004199222284,0.3920251021327493
4,12,0.40489356964961604,0.42838746757382296,0.3920162998172225,0.3952405362163506
5,13,0.4090757050913629,0.4277438629738365,0.3881531188675044,0.39556466854104205
6,15,0.4155101977414294,0.42741817729934606,0.3910527051586747,0.3987806204079097
