,model__C,Bag-of-Words,TF-IDF,Word2Vec,LDA
0,0.1,0.23881560022552323,0.23881560022552323,0.23999562761048915,0.24053164804565696
1,0.2,0.23881560022552323,0.23881560022552323,0.24439413639554014,0.24020993222796258
2,0.30000000000000004,0.2392448423063204,0.23903019250020135,0.24879229999194558,0.23978080521004733
3,0.4,0.24310704299899893,0.24235579744330277,0.24900677720374187,0.24063917430875975
4,0.5,0.2483633455683531,0.251796706900321,0.2506162767952686,0.23988844653603195
5,0.6,0.2524398508785051,0.26231057773072985,0.2516891231057773,0.2403175160225063
6,0.7000000000000001,0.2576962109793002,0.26864024439356105,0.2528695532108297,0.2390304226259651
7,0.8,0.2593054804450633,0.27475560643891883,0.25233289992981167,0.23860141067093163
8,0.9,0.26295377924035485,0.2784039052342105,0.25276219954204965,0.23827980991611913
9,1.0,0.2640265680194226,0.28173002796028035,0.25362016592067566,0.23785074042964477
