,model__C,Bag-of-Words,TF-IDF,Word2Vec,LDA
0,0.1,0.42806592416546285,0.42806592416546285,0.42806592416546285,0.42806592416546285
1,0.2,0.42806592416546285,0.42806592416546285,0.42806592416546285,0.42806592416546285
2,0.30000000000000004,0.42806592416546285,0.42774438075710275,0.42806592416546285,0.4283879853570893
3,0.4,0.42806592416546285,0.4290310721738095,0.4283879853570893,0.4264556182073308
4,0.5,0.42838746757382296,0.43031828137378253,0.4283879853570893,0.4245253221906375
5,0.6,0.4290310721738095,0.43257219193190116,0.42806592416546285,0.42420326099901107
6,0.7000000000000001,0.4296741589905298,0.42999932688175385,0.4277438629738365,0.42420326099901107
7,0.8,0.4293531333654359,0.4335378577235141,0.42742180178221006,0.4235591386157583
8,0.9,0.427744898540369,0.43354044663984553,0.4277438629738365,0.42259347282414533
9,1.0,0.4248515256483941,0.4316075617068208,0.42677819718222354,0.42259347282414533
