,model__C,Bag-of-Words,TF-IDF,Word2Vec,LDA
0,0.1,0.23881562838854106,0.23881562838854106,0.23978103466368186,0.23913743048025465
1,0.2,0.23881562838854106,0.23881562838854106,0.24251609334333463,0.24010270720543905
2,0.30000000000000004,0.23897665898435427,0.23994206525949507,0.24460780693947298,0.23913730093029825
3,0.4,0.24364304841411424,0.24187300735973305,0.24718287142296375,0.23945936212192467
4,0.5,0.24927510321892776,0.24847072753960017,0.24798763575216057,0.2397818119634203
5,0.6,0.2555502440073429,0.2619879699910481,0.24766596321040338,0.2399427130092771
6,0.7000000000000001,0.26295272851640683,0.27003367003367,0.24798944945155027,0.2392992383758063
7,0.8,0.266010496137468,0.2772757716967028,0.24814866634797378,0.23994297210918986
8,0.9,0.26987315763768244,0.28194410437580886,0.25072347173155174,0.23929949747571908
9,1.0,0.2713212670503936,0.2830709298966321,0.24991883695231137,0.23881679433814867
